Ticket_ID,Sprint_ID,Title,Type,Priority,Status,State,Story_Points,Assignee,Assignee_Role,QA_Owner,Manager,Created_Date,Started_Date,Completed_Date,Cycle_Time_Days,Dev_Time_Hours,QA_Time_Hours,Estimated_Hours,Severity,Area_Module,Sprint_Start,Sprint_End,Team_Capacity_Hours,Tags,Comments,Carried_Over_From,Risk_Flag
SP1-US-001,SPR-001,User registration with email,Story,High,Done,Done,5,Rahul,Developer,Chandna,Raj Kumar,2024-01-02 09:30:00,2024-01-03 10:15:00,2024-01-14 16:45:00,11,28,10,24,,Authentication & Onboarding,2024-01-02 00:00:00,2024-01-15 00:00:00,240,"onboarding, registration, ui",Underestimated complexity. Email validation library had compatibility issues with our stack.,,Medium
SP1-US-002,SPR-001,User login with email & password,Story,High,Done,Done,3,Dharmeswar,Developer,Vijayshree,Raj Kumar,2024-01-02 09:30:00,2024-01-05 10:15:00,2024-01-13 14:30:00,8,19,7,16,,Authentication & Onboarding,2024-01-02 00:00:00,2024-01-15 00:00:00,240,"auth, login, backend",Delayed start due to environment setup issues. Session management more complex than planned.,,Medium
SP1-US-003,SPR-001,Password reset using email link,Story,Medium,In Progress,In Progress,5,Rahul,Developer,Chandna,Raj Kumar,2024-01-04 14:20:00,2024-01-10 09:00:00,,,15,0,20,,Authentication & Onboarding,2024-01-02 00:00:00,2024-01-15 00:00:00,240,"auth, reset, email",Blocked by email service provider approval. Started late in sprint. Carrying to SPR-002.,,High
SP1-US-004,SPR-001,Create basic profile page,Story,Medium,To Do,To Do,3,Dharmeswar,Developer,Vijayshree,Raj Kumar,2024-01-05 11:00:00,,,,0,0,12,,Profile & Settings,2024-01-02 00:00:00,2024-01-15 00:00:00,240,"profile, ui",Never started due to resource constraints. Moving to SPR-002.,,High
SP1-US-005,SPR-001,Social login integration (Google OAuth),Story,Low,To Do,To Do,5,Rahul,Developer,Chandna,Raj Kumar,2024-01-06 10:00:00,,,,0,0,20,,Authentication & Onboarding,2024-01-02 00:00:00,2024-01-15 00:00:00,240,"auth, oauth, social",Deprioritized due to higher priority bugs. Moving to backlog.,,Medium
SP1-BUG-005,SPR-001,Login button unresponsive on Firefox,Bug,High,Done,Done,2,Rahul,Developer,Vijayshree,Raj Kumar,2024-01-09 11:45:00,2024-01-09 14:00:00,2024-01-11 17:30:00,2,8,4,6,High,Authentication & Onboarding,2024-01-02 00:00:00,2024-01-15 00:00:00,240,"bug, browser, firefox",CSS specificity issue. Took longer due to cross-browser testing requirements.,,Low
SP1-BUG-006,SPR-001,Error message not shown on invalid password,Bug,Medium,Done,Done,1,Dharmeswar,Developer,Chandna,Raj Kumar,2024-01-10 10:15:00,2024-01-11 13:30:00,2024-01-13 16:00:00,2,6,3,4,Medium,Authentication & Onboarding,2024-01-02 00:00:00,2024-01-15 00:00:00,240,"bug, validation",Frontend validation logic needed complete refactoring. More effort than estimated.,,Low
SP1-BUG-007,SPR-001,Session timeout not working correctly,Bug,High,Done,Done,2,Rahul,Developer,Vijayshree,Raj Kumar,2024-01-11 15:00:00,2024-01-12 09:00:00,2024-01-14 18:00:00,2,11,3,8,High,Authentication & Onboarding,2024-01-02 00:00:00,2024-01-15 00:00:00,240,"bug, security, session",Found during testing. Required immediate fix for security. Extended testing.,,Medium
SP1-TASK-007,SPR-001,Create onboarding test cases,Task,High,Done,Done,2,Chandna,Tester,,Raj Kumar,2024-01-03 10:00:00,2024-01-08 09:00:00,2024-01-13 17:30:00,5,2,16,10,,Quality & Testing,2024-01-02 00:00:00,2024-01-15 00:00:00,240,"qa, test-cases, onboarding",Delayed start. Created 28 test cases but some edge cases discovered late.,,Low
SP1-TASK-008,SPR-001,Execute regression suite for Sprint 1,Task,High,In Progress,In Progress,2,Vijayshree,Tester,,Raj Kumar,2024-01-13 09:00:00,2024-01-14 10:00:00,,,0,12,12,,Quality & Testing,2024-01-02 00:00:00,2024-01-15 00:00:00,240,"qa, regression",Started late. Only completed 60% of test cases. Will complete in SPR-002.,,Medium
SP1-TASK-009,SPR-001,Sprint planning and backlog refinement,Task,Medium,Done,Done,1,Raj Kumar,Manager,,Raj Kumar,2023-12-29 10:00:00,2023-12-29 10:00:00,2023-12-29 15:30:00,0,5,0,4,,Authentication & Onboarding,2024-01-02 00:00:00,2024-01-15 00:00:00,240,"scrum, planning",Planning took longer. Multiple dependencies and technical discussions required.,,Low
SP1-TASK-010,SPR-001,Sprint review & demo preparation,Task,Medium,Done,Done,1,Raj Kumar,Manager,,Raj Kumar,2024-01-14 11:00:00,2024-01-14 14:00:00,2024-01-15 16:00:00,1,4,0,3,,Authentication & Onboarding,2024-01-02 00:00:00,2024-01-15 00:00:00,240,"scrum, review, demo",Demo prep rushed. Password reset feature not demoed as incomplete.,,Low
